Vehiculo,Proyecto,EC,Conductor,Puntuacion Seguridad,Total Km,Choques,Somnolencia,Conduccion Distraida,Distancia Seguimiento,Colision Frontal,Obstruccion Camara,Aceleracion Brusca,Frenado Brusco,Giro Brusco,Uso Celular,Sin Cinturon,Total General
1977,Circuitos,EC-03,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1965,Circuitos,EC-03,0,100,1.449,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1874,Circuitos,EC-03,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1790,Circuitos,EC-03,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1869,Circuitos,EC-03,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1886,Circuitos,EC-03,0,100,45.906,0.0,0.0,0.0,0.0,0.0,3.0,0,1.0,0.0,0.0,0.0,4.0
1891,Circuitos,EC-03,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1975,Circuitos,EC-03,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1875,Circuitos,EC-03,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1955,Circuitos,EC-03,CHAJHO,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1851,Circuitos,EC-03,HEROSC,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1880,Circuitos,EC-03,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2133,Circuitos,EC-03,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1871,Circuitos,EC-03,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2116,Circuitos,EC-03,0,100,0.556,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1799,Circuitos,EC-03,FUEMAR,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1887,Circuitos,EC-03,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1867,Circuitos,EC-03,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1931,Circuitos,EC-03,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1825,Circuitos,EC-03,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1821,Circuitos,EC-03,0,100,1.098,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1904,Circuitos,EC-03,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1935,Circuitos,EC-03,0,93,204.456,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1865,Circuitos,EC-03,0,91,4926.351,0.0,1.0,11.0,0.0,0.0,0.0,0,0.0,0.0,3.0,1.0,16.0
1947,Circuitos,EC-03,JUAPOR,84,3877.252,0.0,0.0,6.0,0.0,0.0,0.0,0,0.0,0.0,7.0,7.0,20.0
2136,Circuitos,EC-03,BREISR,81,792.972,0.0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,2.0,1.0,8.0
2135,Circuitos,EC-03,GRERI,79,1607.504,0.0,0.0,7.0,0.0,0.0,4.0,0,0.0,0.0,0.0,3.0,14.0
1909,Circuitos,EC-03,0,79,2242.013,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,2.0
1812,Circuitos,EC-03,0,78,1623.396,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,2.0,0.0,4.0
1860,Circuitos,EC-03,GUTIVA,77,2216.144,0.0,2.0,0.0,0.0,0.0,1.0,0,0.0,0.0,3.0,1.0,7.0
1940,Circuitos,EC-03,0,74,3219.607,0.0,1.0,3.0,0.0,0.0,2.0,0,0.0,0.0,8.0,7.0,21.0
2134,Circuitos,EC-03,HERAL04,73,3239.449,0.0,0.0,7.0,0.0,0.0,0.0,0,0.0,0.0,14.0,0.0,21.0
1943,Circuitos,EC-03,0,72,1551.333,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.0,13.0
1906,Circuitos,EC-03,REYLOR,71,3124.987,0.0,0.0,25.0,0.0,0.0,2.0,0,0.0,0.0,5.0,6.0,38.0
1810,Circuitos,EC-03,RUIFR,70,3176.523,0.0,2.0,11.0,0.0,0.0,0.0,0,0.0,0.0,14.0,2.0,29.0
1890,Circuitos,EC-03,JUAJOS01,70,1830.07,0.0,0.0,12.0,0.0,0.0,0.0,0,0.0,0.0,3.0,22.0,37.0
2139,Circuitos,EC-03,RIOFE,68,3697.109,0.0,0.0,31.0,0.0,0.0,2.0,0,0.0,0.0,11.0,0.0,44.0
1933,Circuitos,EC-03,0,67,2846.973,0.0,1.0,19.0,0.0,0.0,1.0,0,0.0,0.0,3.0,22.0,46.0
2119,Circuitos,EC-03,MOZPEDX,67,5486.974,0.0,0.0,40.0,0.0,0.0,0.0,0,0.0,1.0,0.0,56.0,97.0
1937,Circuitos,EC-03,PERJAV,62,1122.164,0.0,0.0,11.0,0.0,0.0,0.0,0,0.0,0.0,6.0,2.0,19.0
1888,Circuitos,EC-03,0,56,1193.06,0.0,0.0,9.0,0.0,0.0,0.0,0,1.0,0.0,6.0,4.0,20.0
1855,Circuitos,EC-03,BAUGEO,56,2119.628,0.0,0.0,19.0,0.0,0.0,0.0,0,0.0,0.0,8.0,4.0,31.0
2122,Circuitos,EC-03,0,54,1698.684,0.0,1.0,15.0,0.0,0.0,0.0,0,0.0,0.0,3.0,22.0,41.0
1881,Circuitos,EC-03,0,53,4135.893,0.0,0.0,6.0,0.0,0.0,4.0,0,0.0,0.0,18.0,0.0,28.0
2138,Circuitos,EC-03,0,50,761.918,0.0,1.0,4.0,0.0,0.0,1.0,0,0.0,0.0,0.0,3.0,9.0
1828,Circuitos,EC-03,0,49,3452.24,0.0,0.0,17.0,0.0,0.0,0.0,0,0.0,0.0,33.0,2.0,52.0
2123,Circuitos,EC-03,0,48,2294.546,0.0,0.0,10.0,0.0,0.0,2.0,0,2.0,0.0,12.0,13.0,39.0
1972,Circuitos,EC-03,JUAJOS01,48,1889.841,0.0,2.0,15.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,19.0
1908,Circuitos,EC-03,0,47,2260.425,0.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,8.0,6.0,17.0
2111,Circuitos,EC-03,GARMAR01,46,2086.325,0.0,0.0,0.0,0.0,0.0,8.0,0,0.0,0.0,0.0,0.0,8.0
1932,Circuitos,EC-03,0,46,1871.849,0.0,0.0,9.0,0.0,0.0,0.0,0,0.0,0.0,7.0,17.0,33.0
1878,Circuitos,EC-03,0,41,3712.701,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,3.0,0.0,5.0
1934,Circuitos,EC-03,JIMARM,39,2937.514,0.0,0.0,30.0,0.0,0.0,0.0,0,0.0,0.0,23.0,12.0,65.0
2112,Circuitos,EC-03,0,36,37.685,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,3.0
1873,Circuitos,EC-03,0,32,744.752,0.0,0.0,2.0,0.0,0.0,2.0,0,0.0,0.0,5.0,6.0,15.0
1941,Circuitos,EC-03,0,30,1068.83,0.0,0.0,0.0,0.0,0.0,5.0,0,0.0,0.0,0.0,0.0,5.0
